; Type: Legion Raid

; -------------------------------------
;   Zone: The Emerald Nightmare
; -------------------------------------

; Boss: Trash
221059	Wave of Decay
221028y	Unstable Decay on you
222719y	Befoulment on you
totem	Corrupted Totem

; Boss: Nythendra
202977	Infested Breath
203096y	Rot on you
204463y	Volatile Rot on you
203552	Heart of the Swarm
203045	Infested Ground
204504	Infested
205043y	Infested Mind on you
205070	Spread Infestation

; Boss: Ursoc
197943	Overwhelm
204859	Rend Flesh
198006y	Focused Gaze on you
198108	Momentum
197969	Roaring Cacophony
205611	Miasma under you
198388	Blood Frenzy

; Boss: Il'gynoth
223121	Final Torpor
212886	Nightmare Corruption
208689y	Ground Slam on you
215234	Nightmarish Fury
210099	Fixate
209469	Touch of Corruption
nightmare_horror	Nightmare Horror
210984	Eye of Fate
208929y	Spew Corruption on you
208697	Mind Flay
215128y	Cursed Blood on you
218415	Death Blossom
shriveled_eyestalk	Shriveled Eyestalk

; Boss: Elerethe Renferal
215300	Web of Pain
212364	Feeding Time
214348	Vile Ambush
215460y	Necrotic Venom on you
212707	Gathering Clouds
210948	Dark Storm
210864y	Twisting Shadows on you
210547	Razor Wing
215582	Raking Talons
218124	Violent Winds=wɪndz
213124	Venomous Pool

; Boss: Dragons of Nightmare
203028	Corrupted Breath
-12809	Marks
207573	Call Defiled Spirit
203770y	Defiled Vines on you
203147	Nightmare Blast
203787y	Volatile Infection on you
205298	Essence of Corruption
205300	Corruption
205528	Corruption of the Dream
203888	Siphon Spirit
204040	Shadow Burst
204100	Shades of Taerar
204767	Corrupted Breath
205331	Seeping Fog
204078	Bellowing Roar
-13460	Lumbering Mindgorger

; Boss: Cenarius
210279	Creeping Nightmares
210290y	Nightmare Brambles on you
212726	Forces of Nightmare
210346	Dread Thorns
214505	Entangling Nightmares
214529	Spear of Nightmares
213162	Nightmare Blast
212681	Cleansed Ground
211073	Desiccating Stomp
211192y	Rotten Breath on you
211368	Twisted Touch of Life
211471y	Scorned Touch on you
211989y	Unbound Touch on you
214876	Beasts of Nightmare
214884	Corrupt Allies of Nature

; Boss: Xavius
208431	Descent Into Madness
207409	Madness
206005	Dream Simulacrum
211634	The Infinite Dark
224649	Tormenting Swipe
207830	Corrupting Nova
206651	Darkening Soul
211802y	Nightmare Blades on you
210264	Manifest Corruption
205771	Tormenting Fixation
205741	Lurking Eruption
209034y	Bonds of Terror on you
224508	Corruption Meteor
209158	Blackening Soul
209443	Nightmare Infusion
205588	Call of Nightmares
226194	Writhing Deep
205843	The Dreaming


; -------------------------------------
;   Zone: Trial of Valor
; -------------------------------------

; Boss: Odyn
228018	Valarjar's Bond
228171	Revivify
228012	Horn of Valor
228029y	Expel Light on you
228162y	Shield of Light on you
227503	Draw Power
227629	Unerring Blast
227626	Odyn's Test
-14495	Runic Brand
229584	Protected
-14404	Test of the Ages
228918y	Stormforged Spear on you
227807y	Storm of Justice on you
227475	Cleansing Flame
197961y	Runic Brand on you
231350	Radiant Smite

; Boss: Guarm
228248y	Frost Lick on you
228253y	Shadow Lick on you
228228y	Flame Lick on you
228187	Guardian's Breath
227514	Flashing Fangs
227816	Headlong Charge
227883	Roaring Leap
-14535	Volatile Foam
228810y	Briney Volatile Foam on you
228744y	Flaming Volatile Foam on you
228818y	Shadowy Volatile Foam on you

; Boss: Helya
229119	Orb of Corruption
orb_melee	Orb in melee
orb_ranged	Orb in ranged
227967	Bilewater Breath
227992	Bilewater Liquefaction
227982	Bilewater Redox
228730	Tentacle Strike
tentacle_near	Tentacle near
tentacle_far	Tentacle far
228054y	Taint of the Sea on you
228872	Corrossive Nova
230197	Dark Waters
228300	Fury of the Maw
167910	Kvaldir Longboat
228390	Sludge Nova
193367y	Fetid Rot on you
228519	Anchor Slam
228619	Lantern of Darkness
228633	Give No Quarter
228611	Ghostly Rage
228127	Decay
228854	Mist Infusion
230267y	Orb of Corrosion on you
228565	Corrupted Breath
232488	Dark Hatred
232450	Corrupted Axiom


; -------------------------------------
;   Zone: The Nighthold
; -------------------------------------

; Boss: Trash
230438	Devastating Strike
231086y	Bolder Strike on you
230482	Rumbling Blow
230488	Rumbling Ground
221164	Fulminate
221160	Compress the Void
223655y	Oozing Rush on you
230994y	Shadow Wrap on you
231005	Arcane Emanations
225927	Gravity Well
224440	Crushing Stomp
224510	Crackling Slice
225412	Mass Siphon
224568	Mass Suppress
224572	Disrupting Energy
224632y	Heavenly Crash on you
225390	Stellar Dust
225845	Chosen Fate
225105y	Arcanic Release on you
225800	Greater Time Warp
225857	Arcane Wound
225856	Poison Brambles
221344y	Annihilating Orb on you
224982y	Fel Glare on you

; Boss: Skorpyron
204275	Arcanoslash
204316	Shockwave
204448	Chitinous Exoskeleton
204459	Exoskeletal Vulnerability
204372	Call of the Scorpid
204471	Focused Blast
