; Type: The War Within Delves

; -------------------------------------
; Zone: Delve Trash
; -------------------------------------

; Boss: Fungarian
1217589	Sporesplosion
414944	Battle Roar
424891	Vine Spear
424773	Sporogenesis
424798	Bloated Eruption
424704	Vicious Stabs
425040	Rotwave Volley
425042	Sporewave
424750	Infectious Spores
372529	Hideous Laughter

; Boss: Goblin
473684	Cogstorm
473550	Rocket Barrage
474001	Bathe in Blood
473995	Bloodbath
473972	Reckless Charge
474004	Drill Quake
1213656	Overtime!
473541	Flurry of Punches
473696	Molotov Cocktail
472842	Destroy

; Boss: Kobold
449071	Blazing Wick
448399	Battle Cry
445210	Fire Charge
445191	Wicklighter Volley
448528	Throw Dynamite

; Boss: Kobyss
455932	Defiling Breath
445252	Necrotic End
430037	Spearfish
440622	Curse of the Depths
445492	Serrated Cleave
445407	Bloodthirsty
445774	Thrashing Frenzy
374898	Enrage
445771	Bubble Surge
433040	Illusive Step

; Boss: Nerubian
450714	Jagged Barbs
450637	Leeching Swarm
449318	Shadows of Strife
450546	Webbed Aegis
450509	Wide Swipe
433410	Fearful Shriek
450197	Skitter Charge
433448	Web Launch

; Boss: Nightfall
441129	Spotted!
434740	Shadow Barrier
443292	Umbral Slam
434281	Echo of Renilash
443482	Blessing of Dusk
440205	Inflict Death

; Boss: Old God
474325	Abyssal Grasp
474482	Lure of the Void
474511	Shadow Smash
474206	Shadow Stomp
474223	Concussive Smash
474155	Slime Trail
474228	Shadow Blast
455662	Grasping Shadows

; Boss: Underkeep
451913	Grimweave Orb
;450714	Jagged Barbs
;450637	Leeching Swarm
448179	Armored Shell
448155	Shockwave Tremors
448161	Enrage
453149	Gossamer Webbing

; Boss: Underpin Rares
418295	Umbral Slash
418297	Castigate
1214246	Crushing Pinch
1214238	Harden Shell
1216790	Forward Charge
1216794	Alpha Cannon
1216805	Zap!
1216806	There's the Door
1217361	Worthless Adorations
1217326	Take a Selfie!
433045	Backstab
1217418	Call My Agent
1217449	Call My Broker
1217452	Call My Mother
1217510	Speed Dialing
1218061	Gold Fuse
1218017	Crab-a-bomb Barrage
